No;NombreProyecto;NombreEstacionPeaje;Departamento;Municipio;TAR_PLENA_I;TAR_PLENA_II;TAR_PLENA_III;TAR_PLENA_IV;TAR_PLENA_V;TAR_PLENA_VI;TAR_PLENA_VII;TAR_PLENA_E.A.;TAR_PLENA_E.G.;TAR_PLENA_E.R.;TAR_PLENA_E.C.;TAR_ESPECIAL_I;TAR_ESPECIAL_II;TAR_ESPECIAL_III;TAR_ESPECIAL_IV;TAR_ESPECIAL_V;TAR_ESPECIAL_VI;TAR_ESPECIAL_VII;TAR_ESPECIAL_VIII;TAR_ESPECIAL_IX;TAR_ESPECIAL_IE-10;TAR_ESPECIAL_IEE;TAR_ESPECIAL_IEEE;TAR_ESPECIAL_IIA;TAR_ESPECIAL_E.A.;TAR_ESPECIAL_E.G.;TAR_ESPECIAL_E.R.;TAR_ESPECIAL_E.C.;FechaUltimoCambiodeTarifa
13;BOGOTÁ - VILLAVICENCIO;PIPIRAL;META;VILLAVICENCIO;$ 16,60;$ 33,00;$ 22,50;$ 39,40;$ 43,00;$ 65,80;$ 85,10;$    -;$    -;$    -;$    -;$ 3,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$ 3,40;$ 3,40;$    -;$    -;$    -;$    -;$    -;2018-11-16T00:00:00.000
14;CARTAGENA-BARRANQUILLA;MARAHUACO;BOLÍVAR;CARTAGENA DE INDIAS;$ 11,30;$ 17,20;$ 12,30;$ 21,80;$ 68,70;$ 91,80;$ 101,90;$    -;$    -;$    -;$    -;$ 7,10;$ 8,50;$ 7,50;$ 8,70;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
15;CARTAGENA-BARRANQUILLA;PAPIROS;ATLÁNTICO;BARRANQUILLA;$ 4,80;$ 5,70;$ 11,40;$ 20,20;$ 63,60;$ 85,00;$ 94,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
16;CARTAGENA-BARRANQUILLA;PUERTO COLOMBIA;ATLÁNTICO;BARRANQUILLA;$ 11,30;$ 17,20;$ 12,30;$ 21,80;$ 68,70;$ 91,80;$ 101,90;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
17;DESARROLLO VIAL DEL ORIENTE DE MEDELLÍN;GUARNE;ANTIOQUIA;COPACABANA;$ 12,00;$ 20,90;$ 16,70;$ 20,90;$ 41,60;$ 59,30;$ 59,30;$    -;$    -;$    -;$    -;$ 9,00;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-01T00:00:00.000
18;DESARROLLO VIAL DEL ORIENTE DE MEDELLÍN;LAS PALMAS;ANTIOQUIA;ENVIGADO;$ 8,70;$ 10,50;$ 10,50;$ 10,50;$ 23,30;$ 31,40;$ 35,10;$    -;$    -;$    -;$    -;$ 6,50;$ 200;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-01T00:00:00.000
19;FONTIBÓN - FACATATIVÁ - LOS ALPES;CORZO;CUNDINAMARCA;MADRID;$ 8,00;$ 12,00;$ 10,40;$ 13,90;$ 23,60;$ 31,90;$ 34,50;$    -;$    -;$    -;$    -;$ 200;$ 200;$ 200;$ 200;$ 200;$ 200;$ 200;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-06T00:00:00.000
20;FONTIBÓN - FACATATIVÁ - LOS ALPES;RÍO BOGOTÁ;CUNDINAMARCA;FUNZA;$ 8,00;$ 12,00;$ 10,40;$ 13,90;$ 23,60;$ 31,90;$ 34,50;$    -;$    -;$    -;$    -;$ 200;$ 200;$ 200;$ 200;$ 200;$ 200;$ 200;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-06T00:00:00.000
21;SANTA MARTA-RIOHACHA-PARAGUACHÓN;ALTO PINO;LA GUAJIRA;MANAURE;$ 9,60;$ 14,80;$ 11,90;$ 18,90;$ 27,70;$ 44,70;$ 56,40;$    -;$    -;$    -;$    -;$ 5,00;$ 7,50;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
22;SANTA MARTA-RIOHACHA-PARAGUACHÓN;EL EBANAL;LA GUAJIRA;RIOHACHA;$ 9,60;$ 14,80;$ 11,90;$ 18,90;$ 27,70;$ 44,70;$ 56,40;$    -;$    -;$    -;$    -;$ 5,00;$ 7,50;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
23;SANTA MARTA-RIOHACHA-PARAGUACHÓN;NEGUANJE;MAGDALENA;SANTA MARTA;$ 9,60;$ 14,80;$ 11,90;$ 18,90;$ 27,70;$ 44,70;$ 56,40;$    -;$    -;$    -;$    -;$ 5,00;$ 7,50;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
24;SANTA MARTA-RIOHACHA-PARAGUACHÓN;PARAGUACHÓN;LA GUAJIRA;MAICAO;$ 9,60;$ 14,80;$ 11,90;$ 18,90;$ 27,70;$ 44,70;$ 56,40;$    -;$    -;$    -;$    -;$ 5,00;$ 3,00;$ 3,00;$ 3,00;$    -;$    -;$    -;$    -;$    -;$ 3,00;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
25;ÁREA METROPOLITANA DE CÚCUTA Y NORTE DE SANTANDER;EL ESCOBAL;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;$ 2,00;$ 2,00;$ 2,00;$ 2,00;$ 2,00;$    -;$    -;$ 2,00;$ 2,00;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;Sin incremento
26;ÁREA METROPOLITANA DE CÚCUTA Y NORTE DE SANTANDER;LA PARADA;NORTE DE SANTANDER;VILLA DEL ROSARIO;$ 2,00;$ 2,00;$ 2,00;$ 2,00;$ 2,00;$    -;$    -;$ 2,00;$ 2,00;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;Sin incremento
27;ÁREA METROPOLITANA DE CÚCUTA Y NORTE DE SANTANDER;LOS ACACIOS;NORTE DE SANTANDER;LOS PATIOS;$ 6,10;$ 8,70;$ 19,50;$ 25,10;$ 28,50;$    -;$    -;$ 8,80;$ 6,30;$ 8,50;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
28;BRICEÑO - TUNJA - SOGAMOSO;ALBARRACÍN;CUNDINAMARCA;VILLAPINZÓN;$ 8,00;$ 8,90;$ 23,00;$ 28,50;$ 33,50;$    -;$    -;$ 8,20;$ 5,70;$ 6,80;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-15T00:00:00.000
29;BRICEÑO - TUNJA - SOGAMOSO;EL ROBLE;CUNDINAMARCA;SESQUILÉ;$ 8,00;$ 8,90;$ 23,00;$ 28,50;$ 33,50;$    -;$    -;$ 8,20;$ 5,70;$ 6,80;$    -;$ 4,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-15T00:00:00.000
30;BRICEÑO - TUNJA - SOGAMOSO;TUTA;BOYACÁ;CÓMBITA;$ 8,00;$ 8,90;$ 23,00;$ 28,50;$ 33,50;$    -;$    -;$ 8,20;$ 5,70;$ 6,80;$    -;$ 3,10;$ 4,30;$ 4,50;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-15T00:00:00.000
31;CÓRDOBA - SUCRE;LA ESPERANZA;SUCRE;TOLÚ VIEJO;$ 8,20;$ 8,90;$ 19,20;$ 24,30;$ 27,40;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$    -;$ 2,10;$    -;;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
32;CÓRDOBA - SUCRE;LAS FLORES;SUCRE;MORROA;$ 4,50;$ 12,00;$ 18,60;$ 23,60;$ 27,10;$    -;$    -;$    -;$    -;$    -;$    -;$ 3,00;$ 4,80;$ 6,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-15T00:00:00.000
33;CÓRDOBA - SUCRE;LOS GARZONES 1;CÓRDOBA;CERETÉ;$ 4,50;$ 12,00;$ 18,60;$ 23,60;$ 27,10;$    -;$    -;$    -;$    -;$    -;$    -;$ 3,00;$ 4,80;$ 6,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-15T00:00:00.000
34;CÓRDOBA - SUCRE;LOS GARZONES 2;CÓRDOBA;MONTERÍA;$ 4,50;$ 12,00;$ 18,60;$ 23,60;$ 27,10;$    -;$    -;$    -;$    -;$    -;$    -;$ 3,00;$ 4,80;$ 6,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-15T00:00:00.000
35;GIRARDOT - IBAGUÉ - CAJAMARCA;CHICORAL;TOLIMA;FLANDES;$ 10,80;$ 11,80;$ 10,80;$ 14,10;$ 28,40;$ 38,00;$ 41,80;$ 9,70;$ 6,80;$ 9,50;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
36;GIRARDOT - IBAGUÉ - CAJAMARCA;GUALANDAY;TOLIMA;IBAGUÉ;$ 9,80;$ 11,60;$ 27,60;$ 37,10;$ 40,90;$    -;$    -;$ 9,50;$ 6,40;$ 9,00;$    -;$ 5,70;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
37;PEREIRA - LA VICTORIA;CERRITOS II;RISARALDA;PEREIRA;$ 12,00;$ 13,80;$ 34,00;$ 44,60;$ 51,00;$    -;$    -;$ 15,20;$ 10,30;$ 15,00;$    -;$ 2,60;$ 9,00;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
38;RUTA CARIBE;BAYUNCA;BOLÍVAR;CLEMENCIA;$ 8,00;$ 8,90;$ 19,80;$ 26,40;$ 30,20;$    -;$    -;$ 8,70;$ 6,00;$ 8,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-10T00:00:00.000
39;RUTA CARIBE;GALAPA;ATLÁNTICO;BARANOA;$ 8,50;$ 9,20;$ 19,70;$ 25,30;$ 28,50;$    -;$    -;$ 9,00;$ 6,50;$ 8,70;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-10T00:00:00.000
40;RUTA CARIBE;GAMBOTE;BOLÍVAR;ARJONA;$ 8,00;$ 8,90;$ 19,80;$ 26,40;$ 30,20;$    -;$    -;$ 8,70;$ 6,00;$ 8,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-10T00:00:00.000
41;RUTA CARIBE;PASACABALLOS;BOLÍVAR;TURBANÁ;$ 8,10;$ 8,80;$ 18,70;$ 24,40;$ 28,30;$ 28,30;$ 28,30;$    -;$    -;$    -;$    -;$ 3,10;$    -;$ 7,60;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-10T00:00:00.000
42;RUTA CARIBE;SABANAGRANDE;ATLÁNTICO;SABANAGRANDE;$ 8,50;$ 9,20;$ 20,20;$ 26,40;$ 30,50;$    -;$    -;$ 8,70;$ 6,00;$ 8,40;$    -;$ 2,60;$ 3,10;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-10T00:00:00.000
43;RUTA CARIBE;TURBACO;BOLÍVAR;TURBACO;$ 3,10;$ 7,60;$ 9,30;$ 9,30;$ 9,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$ 3,10;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-10T00:00:00.000
44;RUTA DEL SOL 1;EL KORÁN;CUNDINAMARCA;PUERTO SALGAR;$ 12,80;$ 18,00;$ 25,40;$ 53,10;$ 66,00;$ 78,30;$    -;$ 9,10;$ 6,50;$ 8,80;$    -;$ 2,80;$ 2,80;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-20T00:00:00.000
45;RUTA DEL SOL SECTOR 3;EL COPEY;CESAR;EL COPEY;$ 7,90;$ 8,70;$ 20,30;$ 26,70;$ 30,90;$    -;$    -;$ 9,50;$ 6,50;$ 9,10;$    -;$    -;$    -;$ 10,30;$ 13,50;$ 15,60;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$ 4,80;$    -;$    -;$    -;2019-01-20T00:00:00.000
46;RUTA DEL SOL SECTOR 3;EL DIFÍCIL;MAGDALENA;PLATO;$ 9,20;$ 11,40;$ 24,10;$ 34,10;$ 36,60;$    -;$    -;$ 9,00;$ 6,50;$ 8,70;$    -;$ 2,70;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-20T00:00:00.000
47;RUTA DEL SOL SECTOR 3;LA LOMA;CESAR;EL PASO;$ 8,10;$ 9,00;$ 19,50;$ 25,10;$ 28,50;$    -;$    -;$ 9,00;$ 6,50;$ 8,70;$    -;$    -;$    -;$ 9,90;$ 12,70;$ 14,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$ 4,50;$    -;$    -;$    -;2019-01-20T00:00:00.000
48;RUTA DEL SOL SECTOR 3;PUENTE PLATO;MAGDALENA;PLATO;$ 9,20;$ 11,40;$ 24,10;$ 34,10;$ 36,60;$    -;$    -;$ 9,00;$ 6,50;$ 8,70;$    -;$ 2,70;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-20T00:00:00.000
49;RUTA DEL SOL SECTOR 3;TUCURINCA;MAGDALENA;ARACATACA;$ 8,50;$ 9,40;$ 21,90;$ 28,80;$ 33,40;$    -;$    -;$ 10,30;$ 7,00;$ 9,80;$    -;$    -;$    -;$ 11,10;$ 14,60;$ 16,80;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$ 5,20;$    -;$    -;$    -;2019-01-20T00:00:00.000
50;RUTA DEL SOL SECTOR 3;VALENCIA;CESAR;VALLEDUPAR;$ 8,10;$ 9,00;$ 19,50;$ 25,10;$ 28,50;$    -;$    -;$ 9,00;$ 6,50;$ 8,70;$    -;$    -;$    -;$ 9,90;$ 12,70;$ 14,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$ 4,50;$    -;$    -;$    -;2019-01-20T00:00:00.000
51;AUTOPISTA AL MAR 2;CIRILO;ANTIOQUIA;TURBO;$ 8,70;$ 9,50;$ 9,50;$ 9,50;$ 19,80;$ 25,50;$ 28,60;$    -;$    -;$    -;$    -;$ 4,20;$ 6,20;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
52;AUTOPISTA CONEXIÓN PACIFICO 1;AMAGÁ;ANTIOQUIA;CALDAS;$ 8,30;$ 9,00;$ 19,20;$ 24,40;$ 27,40;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$ 6,70;$    -;$ 4,20;$ 9,50;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
53;AUTOPISTA CONEXIÓN PACIFICO 2;LA PINTADA;ANTIOQUIA;LA PINTADA;$ 8,30;$ 9,00;$ 19,20;$ 24,40;$ 27,40;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
54;AUTOPISTA CONEXIÓN PACIFICO 2;PRIMAVERA;ANTIOQUIA;SANTA BÁRBARA;$ 8,30;$ 9,00;$ 19,20;$ 24,40;$ 27,40;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
55;AUTOPISTA CONEXIÓN PACIFICO 3;ACAPULCO;CALDAS;BELALCÁZAR;$ 11,40;$ 14,10;$ 14,10;$ 14,10;$ 33,80;$ 42,40;$ 48,90;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
56;AUTOPISTA CONEXIÓN PACIFICO 3;SUPIA;CALDAS;SUPÍA;$ 8,30;$ 9,00;$ 19,20;$ 24,40;$ 27,40;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$ 6,70;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
57;AUTOPISTAS AL RÍO MAGDALENA 2;PUERTO BERRÍO;ANTIOQUIA;PUERTO BERRÍO;$ 8,50;$ 9,30;$ 19,50;$ 24,80;$ 27,90;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$    -;$ 2,10;$ 2,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
58;BUCARAMANGA - BARRANCABERMEJA - YONDÓ;RIO SOGAMOSO;SANTANDER;BETULIA;$ 8,50;$ 9,30;$ 19,50;$ 24,80;$ 27,90;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$    -;$ 2,10;$ 2,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
59;BUCARAMANGA - PAMPLONA;EL PICACHO;SANTANDER;PIEDECUESTA;$ 8,50;$ 9,30;$ 19,50;$ 24,80;$ 27,90;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
60;CARTAGENA - BARRANQUILLA CIRCUNVALAR DE LA PROSPERIDAD;GALAPA*;ATLÁNTICO;GALAPA;$ 12,50;$ 18,80;$ 13,60;$ 23,90;$ 74,80;$ 99,70;$ 110,60;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
61;CARTAGENA - BARRANQUILLA CIRCUNVALAR DE LA PROSPERIDAD;JUAN MINA;ATLÁNTICO;GALAPA;$ 12,50;$ 18,80;$ 13,60;$ 23,90;$ 74,80;$ 99,70;$ 110,60;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-07-11T00:00:00.000
62;CONCESIÓN AUTOPISTA AL MAR 1;PALMITAS;ANTIOQUIA;MEDELLÍN;$ 16,20;$ 18,30;$ 39,90;$ 51,90;$ 62,10;$    -;$    -;$ 6,30;$    -;$    -;$    -;$ 8,10;$ 9,20;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
63;CONCESIÓN AUTOPISTA AL MAR 1;SAN CRISTOBAL;ANTIOQUIA;MEDELLÍN;$ 16,20;$ 18,30;$ 39,90;$ 51,90;$ 62,10;$    -;$    -;$ 6,30;$    -;$    -;$    -;$ 8,10;$ 9,20;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
64;GIRARDOT - HONDA - PUERTO SALGAR;BRISAS;CUNDINAMARCA;PUERTO SALGAR;$ 4,80;$ 16,10;$ 22,00;$ 29,50;$ 42,00;$ 67,70;$ 77,50;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-05-23T00:00:00.000
